Code géographique;Libellé géographique;Aire d'attraction des villes 2020;Libellé aire d'attraction des villes 2020;Catégorie commune dans aire d'attraction des villes 2020;Département;Région
01001;L'Abergement-Clémenciat;524;Châtillon-sur-Chalaronne;20;01;84
01002;L'Abergement-de-Varey;000;Commune hors attraction des villes;30;01;84
01004;Ambérieu-en-Bugey;243;Ambérieu-en-Bugey;11;01;84
01005;Ambérieux-en-Dombes;002;Lyon;20;01;84
01006;Ambléon;286;Belley;20;01;84
01007;Ambronay;243;Ambérieu-en-Bugey;20;01;84
01008;Ambutrix;243;Ambérieu-en-Bugey;20;01;84
01009;Andert-et-Condon;286;Belley;20;01;84
01010;Anglefort;000;Commune hors attraction des villes;30;01;84
01011;Apremont;168;Oyonnax;20;01;84
01012;Aranc;572;Plateau d'Hauteville;20;01;84
01013;Arandas;243;Ambérieu-en-Bugey;20;01;84
01014;Arbent;168;Oyonnax;20;01;84
01015;Arboys en Bugey;286;Belley;20;01;84
01016;Arbigny;084;Mâcon;20;01;84
01017;Argis;000;Commune hors attraction des villes;30;01;84
01019;Armix;000;Commune hors attraction des villes;30;01;84
01021;Ars-sur-Formans;002;Lyon;20;01;84
01022;Artemare;286;Belley;20;01;84
01023;Asnières-sur-Saône;084;Mâcon;20;01;84
01024;Attignat;080;Bourg-en-Bresse;20;01;84
01025;Bâgé-Dommartin;084;Mâcon;20;01;84
01026;Bâgé-le-Châtel;084;Mâcon;20;01;84
01027;Balan;002;Lyon;20;01;84
01028;Baneins;000;Commune hors attraction des villes;30;01;84
01029;Beaupont;080;Bourg-en-Bresse;20;01;84
01030;Beauregard;002;Lyon;20;01;84
01031;Bellignat;168;Oyonnax;12;01;84
01032;Béligneux;002;Lyon;20;01;84
01033;Valserhône;GEN;Genève - Annemasse (partie française);20;01;84
01034;Belley;286;Belley;11;01;84
01035;Belleydoux;168;Oyonnax;20;01;84
01036;Valromey-sur-Séran;286;Belley;20;01;84
01037;Bénonces;000;Commune hors attraction des villes;30;01;84
01038;Bény;080;Bourg-en-Bresse;20;01;84
01040;Béréziat;080;Bourg-en-Bresse;20;01;84
01041;Bettant;243;Ambérieu-en-Bugey;20;01;84
01042;Bey;084;Mâcon;20;01;84
01043;Beynost;002;Lyon;20;01;84
01044;Billiat;GEN;Genève - Annemasse (partie française);20;01;84
01045;Birieux;002;Lyon;20;01;84
01046;Biziat;000;Commune hors attraction des villes;30;01;84
01047;Blyes;002;Lyon;20;01;84
01049;La Boisse;002;Lyon;20;01;84
01050;Boissey;084;Mâcon;20;01;84
01051;Bolozon;000;Commune hors attraction des villes;30;01;84
01052;Bouligneux;002;Lyon;20;01;84
01053;Bourg-en-Bresse;080;Bourg-en-Bresse;11;01;84
01054;Bourg-Saint-Christophe;002;Lyon;20;01;84
01056;Boyeux-Saint-Jérôme;000;Commune hors attraction des villes;30;01;84
01057;Boz;084;Mâcon;20;01;84
01058;Brégnier-Cordon;000;Commune hors attraction des villes;30;01;84
01060;Brénod;572;Plateau d'Hauteville;20;01;84
01061;Brens;286;Belley;20;01;84
01062;Bressolles;002;Lyon;20;01;84
01063;Brion;168;Oyonnax;20;01;84
01064;Briord;000;Commune hors attraction des villes;30;01;84
01065;Buellas;080;Bourg-en-Bresse;20;01;84
01066;La Burbanche;286;Belley;20;01;84
01067;Ceignes;000;Commune hors attraction des villes;30;01;84
01068;Cerdon;000;Commune hors attraction des villes;30;01;84
01069;Certines;080;Bourg-en-Bresse;20;01;84
01071;Cessy;GEN;Genève - Annemasse (partie française);20;01;84
01072;Ceyzériat;080;Bourg-en-Bresse;20;01;84
01073;Ceyzérieu;286;Belley;20;01;84
01074;Chalamont;002;Lyon;20;01;84
01075;Chaleins;002;Lyon;20;01;84
01076;Chaley;000;Commune hors attraction des villes;30;01;84
01077;Challes-la-Montagne;000;Commune hors attraction des villes;30;01;84
01078;Challex;GEN;Genève - Annemasse (partie française);20;01;84
01079;Champagne-en-Valromey;000;Commune hors attraction des villes;30;01;84
01080;Champdor-Corcelles;572;Plateau d'Hauteville;20;01;84
01081;Champfromier;000;Commune hors attraction des villes;30;01;84
01082;Chanay;GEN;Genève - Annemasse (partie française);20;01;84
01083;Chaneins;000;Commune hors attraction des villes;30;01;84
01084;Chanoz-Châtenay;080;Bourg-en-Bresse;20;01;84
01085;La Chapelle-du-Châtelard;002;Lyon;20;01;84
01087;Charix;168;Oyonnax;20;01;84
01088;Charnoz-sur-Ain;002;Lyon;20;01;84
01089;Château-Gaillard;002;Lyon;20;01;84
01090;Châtenay;000;Commune hors attraction des villes;30;01;84
01092;Châtillon-la-Palud;002;Lyon;20;01;84
01093;Châtillon-sur-Chalaronne;524;Châtillon-sur-Chalaronne;11;01;84
01094;Chavannes-sur-Reyssouze;084;Mâcon;20;01;84
01095;Nivigne et Suran;080;Bourg-en-Bresse;20;01;84
01096;Chaveyriat;080;Bourg-en-Bresse;20;01;84
01098;Chazey-Bons;286;Belley;20;01;84
01099;Chazey-sur-Ain;002;Lyon;20;01;84
01100;Cheignieu-la-Balme;286;Belley;20;01;84
01101;Chevillard;000;Commune hors attraction des villes;30;01;84
01102;Chevroux;084;Mâcon;20;01;84
01103;Chevry;GEN;Genève - Annemasse (partie française);20;01;84
01104;Chézery-Forens;000;Commune hors attraction des villes;30;01;84
01105;Civrieux;002;Lyon;20;01;84
01106;Cize;080;Bourg-en-Bresse;20;01;84
01107;Cleyzieu;243;Ambérieu-en-Bugey;20;01;84
01108;Coligny;080;Bourg-en-Bresse;20;01;84
01109;Collonges;GEN;Genève - Annemasse (partie française);20;01;84
01110;Colomieu;286;Belley;20;01;84
01111;Conand;243;Ambérieu-en-Bugey;20;01;84
01112;Condamine;000;Commune hors attraction des villes;30;01;84
01113;Condeissiat;080;Bourg-en-Bresse;20;01;84
01114;Confort;GEN;Genève - Annemasse (partie française);20;01;84
01115;Confrançon;080;Bourg-en-Bresse;20;01;84
01116;Contrevoz;286;Belley;20;01;84
01117;Conzieu;286;Belley;20;01;84
01118;Corbonod;000;Commune hors attraction des villes;30;01;84
01121;Corlier;572;Plateau d'Hauteville;20;01;84
01123;Cormoranche-sur-Saône;084;Mâcon;20;01;84
01124;Cormoz;080;Bourg-en-Bresse;20;01;84
01125;Corveissiat;168;Oyonnax;20;01;84
01127;Courmangoux;080;Bourg-en-Bresse;20;01;84
01128;Courtes;000;Commune hors attraction des villes;30;01;84
01129;Crans;002;Lyon;20;01;84
01130;Bresse Vallons;080;Bourg-en-Bresse;20;01;84
01133;Cressin-Rochefort;286;Belley;20;01;84
01134;Crottet;084;Mâcon;20;01;84
01135;Crozet;GEN;Genève - Annemasse (partie française);20;01;84
01136;Cruzilles-lès-Mépillat;084;Mâcon;20;01;84
01138;Culoz-Béon;652;Culoz-Béon;11;01;84
01139;Curciat-Dongalon;080;Bourg-en-Bresse;20;01;84
01140;Curtafond;080;Bourg-en-Bresse;20;01;84
01141;Cuzieu;286;Belley;20;01;84
01142;Dagneux;002;Lyon;20;01;84
01143;Divonne-les-Bains;GEN;Genève - Annemasse (partie française);20;01;84
01145;Dompierre-sur-Veyle;080;Bourg-en-Bresse;20;01;84
01146;Dompierre-sur-Chalaronne;524;Châtillon-sur-Chalaronne;20;01;84
01147;Domsure;080;Bourg-en-Bresse;20;01;84
01148;Dortan;168;Oyonnax;20;01;84
01149;Douvres;243;Ambérieu-en-Bugey;20;01;84
01150;Drom;080;Bourg-en-Bresse;20;01;84
01151;Druillat;080;Bourg-en-Bresse;20;01;84
01152;Échallon;168;Oyonnax;20;01;84
01153;Échenevex;GEN;Genève - Annemasse (partie française);20;01;84
01155;Évosges;572;Plateau d'Hauteville;20;01;84
01156;Faramans;002;Lyon;20;01;84
01157;Fareins;002;Lyon;20;01;84
01158;Farges;GEN;Genève - Annemasse (partie française);20;01;84
01159;Feillens;084;Mâcon;20;01;84
01160;Ferney-Voltaire;GEN;Genève - Annemasse (partie française);20;01;84
01162;Flaxieu;286;Belley;20;01;84
01163;Foissiat;080;Bourg-en-Bresse;20;01;84
01165;Francheleins;000;Commune hors attraction des villes;30;01;84
01166;Frans;002;Lyon;20;01;84
01167;Garnerans;084;Mâcon;20;01;84
01169;Genouilleux;000;Commune hors attraction des villes;30;01;84
01170;Béard-Géovreissiat;168;Oyonnax;20;01;84
01171;Géovreisset;168;Oyonnax;20;01;84
01173;Gex;GEN;Genève - Annemasse (partie française);20;01;84
01174;Giron;000;Commune hors attraction des villes;30;01;84
01175;Gorrevod;084;Mâcon;20;01;84
01177;Grand-Corent;080;Bourg-en-Bresse;20;01;84
01179;Grièges;084;Mâcon;20;01;84
01180;Grilly;GEN;Genève - Annemasse (partie française);20;01;84
01181;Groissiat;168;Oyonnax;20;01;84
01183;Guéreins;000;Commune hors attraction des villes;30;01;84
01184;Hautecourt-Romanèche;080;Bourg-en-Bresse;20;01;84
01185;Plateau d'Hauteville;572;Plateau d'Hauteville;11;01;84
01187;Haut Valromey;000;Commune hors attraction des villes;30;01;84
01188;Illiat;000;Commune hors attraction des villes;30;01;84
01189;Injoux-Génissiat;GEN;Genève - Annemasse (partie française);20;01;84
01190;Innimond;000;Commune hors attraction des villes;30;01;84
01191;Izenave;000;Commune hors attraction des villes;30;01;84
01192;Izernore;168;Oyonnax;20;01;84
01193;Izieu;000;Commune hors attraction des villes;30;01;84
01194;Jassans-Riottier;002;Lyon;20;01;84
01195;Jasseron;080;Bourg-en-Bresse;20;01;84
01196;Jayat;080;Bourg-en-Bresse;20;01;84
01197;Journans;080;Bourg-en-Bresse;20;01;84
01198;Joyeux;002;Lyon;20;01;84
01199;Jujurieux;243;Ambérieu-en-Bugey;20;01;84
01200;Labalme;000;Commune hors attraction des villes;30;01;84
01202;Lagnieu;505;Lagnieu;11;01;84
01203;Laiz;084;Mâcon;20;01;84
01204;Le Poizat-Lalleyriat;000;Commune hors attraction des villes;30;01;84
