Insee - Statistiques locales; ; ; ; ; ; ; ; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; ; ; ; ; ; ; ; 
Code;Libellé;Population municipale 2021;Nb de pers. non scolarisées de 15 ans ou + 2020;Résidences principales 2020;Logements 2020;Nb d'emplois au lieu de travail (LT) 2020;Nb étab. actifs employeurs au 31/12 2021;Nb d'hôtels 2024;Nb de chambres dans les hôtels 2024;Nb de terrains de camping 2024;Nb d'emplacements de camping 2024;Nb d'autres hébergements collectifs de tourisme 2024
01001;L'Abergement-Clémenciat;832;608;329;366;78;15;0;0;0;0;0
01002;L'Abergement-de-Varey;267;182;111;175;28;4;0;0;0;0;0
01004;Ambérieu-en-Bugey;14854;10494;6768;7649;7942;610;1;34;0;0;1
01005;Ambérieux-en-Dombes;1897;1322;736;832;257;45;2;20;1;72;0
01006;Ambléon;113;100;56;76;5;1;0;0;0;0;0
01007;Ambronay;2833;2044;1189;1283;475;70;0;0;0;0;0
01008;Ambutrix;768;584;330;363;117;25;0;0;0;0;0
01009;Andert-et-Condon;322;251;148;195;17;4;0;0;0;0;0
01010;Anglefort;1125;792;470;599;285;18;1;15;1;29;0
01011;Apremont;383;266;150;187;24;6;0;0;0;0;0
01012;Aranc;327;246;147;217;58;9;1;9;0;0;0
01013;Arandas;141;107;63;116;20;4;0;0;0;0;0
01014;Arbent;3409;2516;1371;1486;2202;230;1;10;0;0;0
01015;Arboys en Bugey;667;529;301;420;53;8;0;0;0;0;0
01016;Arbigny;459;333;183;216;39;8;1;19;0;0;0
01017;Argis;432;330;200;323;36;10;0;0;0;0;0
01019;Armix;26;23;13;28;2;1;0;0;0;0;0
01021;Ars-sur-Formans;1498;1063;563;611;198;37;1;43;1;65;0
01022;Artemare;1177;942;580;734;327;47;1;6;1;56;0
01023;Asnières-sur-Saône;77;56;34;46;21;4;0;0;0;0;0
01024;Attignat;3336;2391;1386;1481;935;80;0;0;0;0;0
01025;Bâgé-Dommartin;4065;2937;1607;1740;693;65;0;0;0;0;0
01026;Bâgé-le-Châtel;979;752;433;466;285;36;0;0;0;0;0
01027;Balan;2692;1957;738;786;1880;72;0;0;0;0;0
01028;Baneins;621;434;247;271;68;17;0;0;0;0;0
01029;Beaupont;700;522;262;314;180;22;0;0;0;0;0
01030;Beauregard;830;608;370;446;66;15;0;0;0;0;0
01031;Bellignat;3636;2629;1687;1846;2226;171;2;47;0;0;0
01032;Béligneux;3434;2264;1237;1317;1434;102;0;0;0;0;0
01033;Valserhône;16295;12003;7153;8498;5683;531;6;148;0;0;0
01034;Belley;9239;7041;4304;5099;6125;409;1;35;0;0;0
01035;Belleydoux;306;242;146;234;25;7;0;0;0;0;0
01036;Valromey-sur-Séran;1342;1041;621;976;118;20;0;0;0;0;0
01037;Bénonces;310;237;129;191;53;6;0;0;0;0;0
01038;Bény;764;564;325;352;90;13;0;0;0;0;0
01040;Béréziat;480;346;188;219;43;8;0;0;0;0;0
01041;Bettant;749;563;332;397;56;9;0;0;0;0;0
01042;Bey;290;210;121;133;15;2;0;0;0;0;0
01043;Beynost;4877;3454;1941;2090;3540;310;2;112;0;0;0
01044;Billiat;626;453;268;348;69;15;1;7;0;0;0
01045;Birieux;284;192;104;121;53;7;0;0;0;0;0
01046;Biziat;904;654;352;387;116;18;0;0;0;0;0
01047;Blyes;1292;871;480;510;944;72;1;100;0;0;0
01049;La Boisse;3361;2357;1277;1355;1045;111;1;17;0;0;0
01050;Boissey;386;256;139;160;35;5;0;0;0;0;0
01051;Bolozon;95;79;46;91;9;1;0;0;0;0;0
01052;Bouligneux;327;256;137;149;48;11;0;0;0;0;0
01053;Bourg-en-Bresse;41525;30731;20641;23702;32539;2020;9;417;0;0;1
01054;Bourg-Saint-Christophe;1517;1035;567;600;85;15;0;0;0;0;0
01056;Boyeux-Saint-Jérôme;356;257;151;229;52;8;0;0;0;0;0
01057;Boz;510;370;208;233;127;13;0;0;0;0;0
01058;Brégnier-Cordon;818;609;342;413;289;26;0;0;0;0;0
01060;Brénod;518;388;239;372;102;15;0;0;0;0;0
01061;Brens;1129;850;463;519;85;13;0;0;0;0;0
01062;Bressolles;978;680;370;409;206;17;0;0;0;0;0
01063;Brion;576;415;240;260;404;27;0;0;0;0;0
01064;Briord;1099;793;469;547;596;23;0;0;0;0;0
01065;Buellas;1851;1361;774;808;215;31;1;13;0;0;0
01066;La Burbanche;95;67;42;95;6;3;0;0;0;0;0
01067;Ceignes;261;196;108;131;91;8;0;0;0;0;0
01068;Cerdon;761;601;333;457;147;13;0;0;0;0;0
01069;Certines;1505;1129;665;696;349;37;0;0;0;0;0
01071;Cessy;5307;3558;2165;2397;988;90;0;0;0;0;0
01072;Ceyzériat;3285;2365;1337;1466;1232;121;0;0;0;0;0
01073;Ceyzérieu;992;787;456;589;106;22;0;0;0;0;0
01074;Chalamont;2559;1865;1084;1177;646;92;0;0;0;0;0
01075;Chaleins;1430;1020;552;586;435;52;0;0;1;25;0
01076;Chaley;124;105;64;140;6;1;0;0;1;33;0
01077;Challes-la-Montagne;189;145;98;139;16;2;0;0;0;0;0
01078;Challex;1619;1162;630;747;131;16;0;0;0;0;0
01079;Champagne-en-Valromey;826;628;312;437;328;38;0;0;1;33;0
01080;Champdor-Corcelles;645;486;285;412;94;15;0;0;1;85;0
01081;Champfromier;718;562;348;455;448;17;0;0;1;37;0
01082;Chanay;616;398;233;300;182;12;0;0;0;0;0
01083;Chaneins;1003;689;375;412;180;31;1;7;0;0;0
01084;Chanoz-Châtenay;931;643;349;382;56;8;0;0;0;0;0
01085;La Chapelle-du-Châtelard;394;291;153;172;56;11;0;0;0;0;0
01087;Charix;279;205;121;177;32;6;0;0;0;0;0
01088;Charnoz-sur-Ain;898;683;366;408;193;34;0;0;0;0;0
01089;Château-Gaillard;2287;1561;864;920;834;111;1;59;0;0;0
01090;Châtenay;360;266;155;172;31;11;0;0;0;0;0
01092;Châtillon-la-Palud;1649;1169;645;738;197;24;0;0;0;0;0
01093;Châtillon-sur-Chalaronne;5059;3845;2312;2622;3069;255;4;51;1;115;0
01094;Chavannes-sur-Reyssouze;767;577;325;386;78;11;0;0;1;54;0
01095;Nivigne et Suran;832;626;357;481;140;12;0;0;1;21;0
01096;Chaveyriat;1036;751;409;450;167;26;0;0;0;0;0
