Nom;Trigramme;Segment(s) DRG;Position géographique;Code commune;UIC
Abancourt;ABT;C;49.6852237, 1.7743058;60001;0087313759
Abbaretz;AAR;C;47.5546432, -1.5244159;44001;0087481614
Abbeville;ABB;B;50.10221, 1.82449;80001;0087317362
Ablon-sur-Seine;ABL;B;48.725468, 2.419151;94001;0087545269
Achères Grand Cormier;GCR;B;48.9551835, 2.0919031;78551;0087386052
Achères Ville;ACW;B;48.97011, 2.07739;78005;0087381657
Achiet-le-Grand;ACT;C;50.1317525, 2.780168;62005;0087342048
Aéroport Charles de Gaulle 1;RSY;B;49.00956, 2.56135;93073;0087271460
Aéroport Charles de Gaulle 2 TGV;RYT;"A;A";49.003652, 2.570892;93073;"0087271494;0087001479"
Agay;AGH;C;43.4313701, 6.8564997;83118;0087757559
Agde;AGD;B;43.31728, 3.466203;34003;0087781278
Agen;AGN;A;44.208311, 0.620932;47001;0087586008
Agonac;AGA;C;45.2865966, 0.7486706;24002;0087595157
Aguilcourt - Variscourt;AGK;C;49.408017, 3.973137;2761;0087171702
Aigrefeuille le Thou;AGR;C;46.09402, -0.95168;17447;0087485193
Aiguebelette-le-Lac;AGQ;C;45.5363048, 5.8131468;73001;0087741421
Aiguebelle;AEB;C;45.5437225, 6.3067175;73002;0087741256
Aigueperse;AGE;C;46.0147884, 3.1982621;63001;0087734129
Aigues-Mortes;AIM;C;43.5709008, 4.1912102;30003;0087775858
Aiguillon;AIN;C;44.2987224, 0.3352388;47004;0087586693
Aillevillers;AIP;C;47.9138876, 6.3372988;70171;0087185629
Ailly-sur-Noye;ASN;B;49.75448, 2.36419;80010;0087313221
Ailly-sur-Somme;AYS;B;49.92838, 2.20059;80011;0087313098
Aimargues;AIA;C;43.6786107, 4.2082933;30006;0087775833
Aime - La Plagne;ANJ;C;45.5544, 6.648646;73006;0087741769
Aiserey;ASI;C;47.170501, 5.1582447;21005;0087713636
Aix-en-Provence;AXP;B;43.522912, 5.445345;13001;0087751404
Aix-en-Provence TGV;AXV;A;43.455237, 5.317534;13001;0087319012
Aix-les-Bains le Revard;AIX;B;45.688161, 5.909371;73008;0087741132
Aixe-sur-Vienne;ASV;C;45.7965002, 1.1456892;87001;0087592667
Alaï;ALA;C;45.7521198, 4.7717824;69244;0087722744
Albens;ABN;C;45.785946, 5.9483418;73010;0087746115
Albert;ALJ;B;50.00546, 2.64453;80016;0087313072
Albertville;ALV;B;45.672977, 6.383167;73011;0087741645
Albi;ALB;B;43.92238, 2.137958;81004;0087615005
Albi Madeleine;ALM;C;43.938011, 2.1409629;81004;0087615195
Albias;ALE;C;44.0919078, 1.4448012;82002;0087613398
Albigny - Neuville;VVN;B;45.874921, 4.832874;69003;0087721266
Alençon;ALN;B;48.433884, 0.098531;61001;0087444711
Alès;ALS;B;44.127825, 4.084948;30007;0087775288
Allassac;AAA;C;45.2589385, 1.4731471;19005;0087594234
Allée de la Tour Rendez-Vous;AET;B;48.897109, 2.506475;93057;0087113878
Allenc;AEN;C;44.541296, 3.6638926;48003;0087783654
Alleyras;AES;C;44.919217, 3.673517;43005;0087731885
Altkirch;ALK;B;47.6270174, 7.2392493;68004;0087182238
Amagne - Lucquy;AMA;C;49.5238187, 4.4738775;8008;0087172262
Ambazac;ABZ;C;45.9529056, 1.406501;87002;0087592311
Ambérieu-en-Bugey;AMB;B;45.954008, 5.342388;1004;0087743716
Amboise;AMQ;B;47.42148, 0.981299;37003;0087574343
Ambronay - Priay;AAI;C;46.0115941, 5.3382579;1007;0087743146
Amiens;AMS;A;49.890746, 2.312592;80021;0087313874
Amifontaine;AMF;C;49.4847322, 3.9105811;2013;0087171744
Amilly Ouerray;AMY;C;48.4381825, 1.3892882;28006;0087394205
Amplepuis;AMP;B;45.970982, 4.326844;69006;0087721035
Ancenis;ANC;B;47.369334, -1.177763;44003;0087481192
Anchamps;ACP;C;49.9307448, 4.6702434;8011;0087172858
Anché - Voulon;ACV;C;46.3496187, 0.2503424;86003;0087575332
Ancy-sur-Moselle;AYM;C;49.0575093, 6.0627661;57021;0087192419
Andelot-en-Montagne;AND;C;46.8594671, 5.923584;39009;0087715102
Andrésy;ACY;B;48.9747, 2.04928;78015;0087381491
Andrézieux-Bouthéon;ANZ;C;45.5217037, 4.254834;42005;0087726406
Angers Maître École;AME;C;47.4670899, -0.531894;49007;0087484048
Angers Saint-Laud;ASL;A;47.464647, -0.55682;49007;0087484006
Angerville;AGV;B;48.3112062, 2.0034931;91016;0087543090
Angoulême;ANG;A;45.653572, 0.164608;16015;0087583005
Angoulins sur Mer;AOM;C;46.108057, -1.1154503;17010;0087485102
Anizy - Pinon;API;C;49.4960073, 3.4487637;2602;0087296566
Annappes;ANP;C;50.6227708, 3.1475351;59009;0087286856
Annecy;ANY;A;45.901965, 6.121835;74010;0087746008
Annemasse;ANE;B;46.199222, 6.23652;74012;0087745497
Anor;ANO;C;49.984892, 4.0929803;59012;0087295055
Anse;ANS;B;45.939304, 4.719807;69009;0087721324
Anthéor Cap Roux;AHC;C;43.4349641, 6.8921036;83118;0087757567
Antibes;ATB;A;43.585784, 7.119498;6004;0087757674
Anvin;ANV;C;50.446845, 2.25494;62036;0087317255
Apach;APJ;C;49.458836, 6.371972;57026;0087191643
Appilly;APP;C;49.5808826, 3.1221903;60021;0087296459
Arbanats;ABH;C;44.6743555, -0.3954517;33007;0087582726
Arbois;AOI;C;46.912509, 5.7648273;39013;0087718155
Arc-et-Senans;ACA;C;47.0303516, 5.7767843;25021;0087718841
Arcachon;ARC;B;44.659009, -1.16523;33009;0087582668
Arches;ARH;C;48.1198133, 6.5283085;88011;0087144410
Arcy-sur-Cure;ACU;C;47.6008461, 3.7668885;89015;0087683680
Arenc Euroméditerranée;AEM;C;43.3132339, 5.3676221;13202;0087580340
Arengosse;ARO;C;44.0069764, -0.8093835;40006;0087671479
Argelès-sur-Mer;AMR;B;42.54397, 3.022349;66008;0087784231
Argentan;ARG;B;48.738545, -0.025291;61006;0087444539
Argenteuil;ARW;B;48.94686, 2.25727;95018;0087381848
Argentière;AGI;C;45.9819438, 6.9264844;74056;0087746859
Argenton-sur-Creuse;AGC;B;46.592248, 1.518305;36006;0087597120
Arles;ARS;B;43.684853, 4.63203;13004;0087753657
Arleux;ARX;C;50.2863204, 3.1208073;59015;0087345421
Armentières;ARM;B;50.68084, 2.87763;59017;0087286146
Arnage;AAG;C;47.9285663, 0.1898826;72008;0087396549
Arnèke;ARN;C;50.831522, 2.4083063;59018;0087281121
Arpajon;ARP;B;48.58617, 2.24112;91021;0087545467
Arras;ARR;A;50.286673, 2.781942;62041;0087342014
Arrou;AOU;C;48.0997945, 1.1285567;28012;0087394486
Ars-sur-Moselle;ASM;C;49.0744745, 6.0776461;57032;0087192401
Artenay;ATY;C;48.0808761, 1.8833705;45008;0087543058
Artix;ATI;C;43.3931062, -0.5701881;64061;0087672212
Arvant;ARV;C;45.3653797, 3.3106747;43038;0087734251
Ascq;ASC;C;50.6218591, 3.1598992;59009;0087286864
Asnières-sur-Seine;AEE;B;48.9058, 2.28324;92004;0087381137
Aspres-sur-Buëch;ASH;C;44.519428, 5.7545655;5010;0087763250
Assat;ATK;C;43.2543993, -0.2950176;64067;0087672162
Assier;AER;C;44.6746197, 1.8697681;46009;0087613075
Athis-Mons;ATH;B;48.712557, 2.403749;91027;0087545251
Aubagne;AUB;B;43.296045, 5.56658;13005;0087751750
Aubazines - Saint-Hilaire;ABA;C;45.1816781, 1.6412346;19211;0087594465
Aubergenville Élisabethville;AEH;B;48.971825, 1.8484987;78029;0087386730
Aubiat;AUK;C;45.983812, 3.1605115;63013;0087734111
Aubie - Saint-Antoine;ATX;C;45.0151419, -0.4198843;33018;0087491233
Aubiet;AIT;C;43.6502068, 0.7891179;32012;0087611764
Aubigné-Racan;ABG;C;47.686945, 0.2657714;72013;0087396572
Aubigny-au-Bac;AAB;C;50.2685315, 3.158706;59026;0087345447
Aubigny-en-Artois;ABI;C;50.35297, 2.5928045;62045;0087342246
Aubin;AVB;C;44.5272762, 2.2393128;12013;0087613224
Aubin-Saint-Vaast;AUV;C;50.3946137, 1.9705382;62046;0087316604
Auboué;ABE;C;49.216163, 5.9714608;54028;0087191684
Aubrives;ARI;C;50.1044507, 4.7616512;8028;0087172122
Aubusson;AOO;C;45.9596691, 2.1617231;23008;0087597823
Auch;AUH;B;43.647488, 0.596661;32013;0087611749
Auchy-lès-Hesdin;AHH;C;50.3963631, 2.1022448;62050;0087317230
Audrieu;ADR;C;49.2161315, -0.5960138;14026;0087444059
Audruicq;ADQ;B;50.87567, 2.07636;62057;0087281428
Audun-le-Roman;ALR;C;49.36682, 5.89139;54029;0087194357
Auffay;AUF;B;49.716044, 1.098441;76034;0087415158
Aulnat Aéroport;AUL;C;45.7920571, 3.1614332;63019;0087562421
Aulnay-sous-Bois;ABM;B;48.93179, 2.49431;93005;0087271411
Aulnoye-Aymeries;AYE;B;50.19749, 3.84337;59033;0087295600
Aumale;AUM;C;49.7650371, 1.7560425;76035;0087313767
Aumont-Aubrac;AAU;C;44.7181699, 3.2835489;48009;0087783266
Auneau;AUN;C;48.4458242, 1.77998;28317;0087545657
Auray;ARY;A;47.68022, -2.999995;56007;0087476200
Aurec-sur-Loire;AEC;C;45.3711611, 4.1983439;43012;0087726760
Aurillac;AUC;C;44.921092, 2.435655;15014;0087645002
Auterive;AIE;B;43.348993, 1.468831;31033;0087611384
Autun;AUP;C;46.9548746, 4.2929079;71014;0087694570
Auvers-sur-Oise;AUW;C;49.07062, 2.17526;95039;0087276543
Auxerre Saint-Gervais;AUX;B;47.797645, 3.58514;89024;0087683573
Auxonne;AXO;B;47.192663, 5.37737;21639;0087713347
Avallon;AVA;C;47.4957553, 3.9124463;89025;0087683789
Avenue du Président Kennedy Maison de Radio France;APK;B;48.853322, 2.279969;75116;0087543207
Avenue Foch;AVF;B;48.870971, 2.2756167;75116;0087381038
Avenue Henri Martin;AHM;B;48.8644077, 2.272238;75116;0087381046
Avesnelles;AVS;C;50.1185513, 3.9485876;59035;0087295725
Avesnes-sur-Helpe;AVN;B;50.12674, 3.93295;59036;0087295733
Avignon Centre;AVI;B;43.9419, 4.805281;84007;0087765008
Avignon TGV;AVV;"A;A";43.921586, 4.786079;84007;"0087981902;0087318964"
Avignonet-Lauragais;AWG;C;43.3638769, 1.7872687;31037;0087616011
Avion;AON;C;50.40723, 2.83365;62065;0087342584
Avord;ADG;C;47.0349061, 2.6523757;18018;0087576439
Avoudrey;AVO;C;47.1298359, 6.434573;25039;0087718551
Avranches;AVR;C;48.6902445, -1.3700755;50025;0087448514
Avrechy;AVY;C;49.4446439, 2.4179608;60034;0087313296
Ax-les-Thermes;AXN;C;42.7247967, 1.8332516;9032;0087611533
Ay;AYN;C;49.0487318, 4.0015644;51030;0087171561
Aytré Plage;ATL;C;46.1273815, -1.1280462;17028;0087437806
Azay-le-Rideau;AZR;C;47.2663383, 0.4475388;37014;0087571638
Azay-sur-Cher;EUR;C;47.3652695, 0.8599885;37156;0087574442
Azerailles;AZE;C;48.4913355, 6.695778;54038;0087141408
Babinière;BBR;C;47.25875274, -1.544928378;44035;0087590349
Baccarat;BAC;C;48.452405, 6.74383;54039;0087141416
Bagnac-sur-Célé;BAG;C;44.6652105, 2.1602503;46015;0087613604
