UIC;Gare;Service Wifi
741645;Albertville;Non
381848;Argenteuil;Oui
543090;Angerville;Non
444539;Argentan;Non
592311;Ambazac;Non
753657;Arles;Non
317016;Boulogne-Tintelleries;Non
386730;Aubergenville-Élisabethville;Non
271304;Aubervilliers-La Courneuve;Oui
276543;Auvers-sur-Oise;Non
683573;Auxerre-St-Gervais;Non
111864;Balsièges-Bourg;Non
672774;Bedous;Non
611095;Boussens;Non
276451;Bruyères-sur-Oise;Non
594762;Bretenoux-Biars;Non
545194;Brétigny;Oui
615625;Carmaux;Non
313395;Poix-de-Picardie;Non
725804;Pont-de-Veyle;Non
586404;Pont-du-Casse;Non
734459;Pont-de-Dore;Non
214692;Schirmeck-La Broque;Non
673251;Saubusse-les-Bains;Non
444695;Sées;Non
431791;Rougemont-Chanteloup;Non
295709;Sains-du-Nord;Non
213249;Reichshoffen-Ville;Non
753251;Rognac;Non
613422;Rodez;Non
271486;Parc-des-Expositions;Oui
581710;Parempuyre;Non
576322;St-Amand-Montrond-Orval;Non
751826;St-Antoine (MR);Non
595249;St-Astier;Non
611301;St-Agne;Non
672337;Peyrehorade;Non
611509;Porté-Puymorens;Non
444620;Rai-Aube;Non
144204;Poussay;Non
271817;Soissons;Non
751438;Simiane;Non
683003;Sens;Non
696450;Imphy;Non
481069;La Basse-Indre-St-Herblain;Non
641464;La Bourboule;Non
215491;Keskastel;Non
755611;La Crau;Non
592048;Les Bardys;Non
473587;Les Mais;Non
783308;Le Monastier;Non
316687;Le Haut-Banc;Non
295220;Le Cateau;Non
193383;Herny;Non
182386;Gunsbach-Griesbach;Non
276360;Groslay;Oui
681627;Le Plessis-Chenet;Non
722298;Le Sablon;Non
393256;La Verrière;Oui
611459;Lavilledieu;Non
721431;L'Arbresle;Non
282624;Lyon-Jean-Macé;Non
381509;Mantes-la-Jolie;Non
485334;Marigny (Deux-Sèvres);Non
576132;Marmagne;Non
295006;Maubeuge;Non
214577;Molsheim;Non
672709;Ogeu-les-Bains;Non
743351;Nurieux;Non
381020;Neuilly-Porte-Maillot;Non
761239;L'Isle-d'Abeau;Non
592410;Nieul (Haute-Vienne);Non
775007;Nîmes;Oui
586453;Monsempron-Libos;Non
396044;Montbizot;Non
723569;Montluel;Non
182733;Muhlbach-sur-Munster;Non
715433;Morbier;Non
673103;Morcenx;Non
142109;Lorraine-TGV;Oui
571471;Loches;Non
775858;Aigues-Mortes;Non
775833;Aimargues;Non
608802;Créteil-Pompadour;Oui
615484;Damiatte-St-Paul;Non
575357;Épanvilliers;Non
545137;Étampes;Oui
474064;Châteaulin-Embranchement;Non
113522;Chenay-Gagny;Non
276311;Chevrières;Non
583443;Chasseneuil-sur-Bonnieure;Non
722561;Chasse-sur-Rhône;Non
743302;Ceyzériat;Non
543033;Cercottes;Non
481390;Challans;Non
396309;Connerré-Beillé;Non
286260;Comines-France;Non
471326;Corps-Nuds;Non
718270;Cousance;Non
718213;Domblans-Voiteur;Non
215665;Diemeringen;Non
721506;Écully-la-Demi-Lune;Non
276071;Franconville-Plessis-Bouchard;Oui
725663;Fleurville-Pont-de-Vaux;Non
611962;Fenouillet-St-Alban;Non
172874;Fépin;Non
726877;Feurs;Non
773556;Frontignan;Non
393439;Garancières-la-Queue;Non
775213;Génolhac;Non
691436;Garchizy;Non
672618;Gan;Non
734301;St-Georges-d'Aurac;Non
181016;St-Louis-la-Chaussée;Non
775841;St-Laurent-d'Aigouze;Non
545350;St-Martin-d'Étampes;Non
141101;Varangéville-St-Nicolas;Non
297119;Verneuil-sur-Serre;Non
381814;Vaux-sur-Seine;Non
172114;Vireux-Molhain;Non
683706;Voutenay;Non
286542;Tourcoing;Non
472605;Thann-Centre;Non
586446;Trentels-Ladignac;Non
746875;Vallorcine;Non
276535;Valmondois;Non
182352;Turckheim;Non
476606;Vannes;Oui
681809;Villeneuve-St-Georges-Triage;Non
272021;Villaines (Val-d'Oise);Non
681304;Vigneux-sur-Seine;Oui
581835;Villenave-d'Ornon;Non
594218;Vigeois;Non
486142;Belleville-Vendée;Non
641068;Bellenaves;Non
753228;Berre;Non
281139;Cassel;Non
394270;Bretoncelles;Non
613224;Aubin;Non
545731;Bonneval;Non
393603;Bourth;Non
682161;Cesson;Non
172262;Amagne-Lucquy;Non
671479;Arengosse;Non
278259;Arlac;Non
295055;Anor;Non
775221;Chamborigaud;Non
396275;Champagné;Non
783530;Chanac;Non
481564;La Chapelle-Centre;Non
