UIC;Gare;Piano;Power&Station;Baby-Foot;Distr Histoires Courtes;total
0087741132;Aix-les-Bains le Revard;1;0;0;0;1
0087583005;Angoulême;0;1;0;0;1
0087300822;Belfort - Montbéliard TGV;1;3;0;0;4
0087474007;Brest;1;0;0;1;2
0087615468;Castres;0;1;0;0;1
0087171926;Champagne-Ardenne TGV;1;0;1;1;3
0087172007;Charleville-Mézières;0;2;0;0;2
0087381897;Conflans-Sainte-Honorine;0;0;0;1;1
0087447680;Granville;0;0;1;0;1
0087413013;Le Havre;1;2;0;0;3
0087286005;Lille Flandres;1;3;0;0;4
0087393702;Massy TGV;1;2;0;1;4
0087547026;Paris Austerlitz;0;1;1;0;2
0087271007;Paris Gare du Nord;3;3;0;4;10
0087391102;Paris Montparnasse;0;0;1;0;1
0087384008;Paris Saint-Lazare;1;0;0;1;2
0087595009;Périgueux;1;0;0;1;2
0087575001;Poitiers;1;2;0;0;3
0087171009;Reims;1;1;0;0;2
0087319012;Aix-en-Provence TGV;1;0;0;1;2
0087318964;Avignon TGV;1;0;0;1;2
0087594002;Brive-la-Gaillarde;0;0;0;1;1
0087116111;Chelles - Gournay;0;0;0;1;1
0087444877;Cherbourg;0;0;0;1;1
0087713040;Dijon;1;0;0;0;1
0087223263;Lille Europe;0;0;0;1;1
0087192039;Metz Ville;1;3;1;0;5
087756403;Monaco;1;3;0;0;4
0087481002;Nantes;1;3;0;1;5
0087756056;Nice;1;0;0;1;2
0087485300;Niort;0;1;0;0;1
0087686667;Paris Bercy Bourgogne - Pays d'Auvergne;1;0;1;2;4
0087672006;Pau;1;0;0;1;2
0087784009;Perpignan;0;0;0;1;1
0087411017;Rouen Rive Droite;1;0;1;1;3
0087726000;Saint-Étienne Châteaucreux;0;0;1;0;1
0087313882;TGV Haute Picardie;1;0;1;0;2
0087755009;Toulon;1;0;0;0;1
0087571216;Vendôme - Villiers-sur-Loir;1;0;1;0;2
;Total;75;86;22;63;246
0087271494;Aéroport Charles de Gaulle 2 TGV;1;3;0;2;6
0087615005;Albi;0;1;0;0;1
0087328328;Bibliothèque François Mitterrand;1;0;0;0;1
0087613000;Cahors;0;1;0;0;1
0087281071;Calais - Fréthun;1;0;1;0;2
0087757625;Cannes;1;0;0;0;1
0087734004;Clermont-Ferrand;1;0;0;0;1
0087481754;La Baule-Escoublac;1;0;0;0;1
0087485003;La Rochelle;0;2;0;0;2
0087386425;Maisons-Laffitte;1;0;0;0;1
0087111849;Marne-la-Vallée Chessy;1;2;0;1;4
0087182063;Mulhouse;0;1;0;1;2
0087141002;Nancy;1;3;0;0;4
0087775007;Nîmes;1;0;0;1;2
0087547000;Paris Austerlitz;1;1;0;2;4
87113001;Paris Est;1;3;0;2;6
0087686006;Paris Gare de Lyon;2;0;1;3;6
0087474098;Quimper;0;0;0;1;1
0087571240;Saint-Pierre-des-Corps;0;0;0;2;2
0087671008;Tarbes;1;1;0;1;3
0087611004;Toulouse Matabiau;1;2;0;1;4
0087571000;Tours;1;0;0;1;2
0087732008;Vichy;1;2;0;0;3
0087586008;Agen;1;0;0;0;1
0087484006;Angers Saint-Laud;1;0;0;1;2
0087611749;Auch;0;1;0;0;1
0087765008;Avignon Centre;1;0;0;0;1
0087611533;Ax-les-Thermes;0;1;0;0;1
0087382002;Bécon les Bruyères;1;0;0;0;1
0087745000;Bellegarde;1;1;0;1;3
0087300863;Besançon Franche-Comté TGV;1;0;1;0;2
0087345009;Douai;1;0;0;0;1
0087486019;La Roche-sur-Yon;0;0;0;1;1
0087543017;Les Aubrais;1;0;0;0;1
0087592006;Limoges Bénédictins;1;2;0;0;3
0087751008;Marseille Saint-Charles;0;3;0;0;3
0087773002;Montpellier Saint-Roch;1;0;0;1;2
0087688887;Montpellier Sud-de-France;1;0;0;1;2
0087543009;Orléans;1;0;0;0;1
0087393843;Saint-Quentin en Yvelines - Montigny-le-Bretonneux;0;0;1;0;1
0087118000;Troyes;0;2;0;0;2
0087763029;Valence TGV Rhône-Alpes Sud;1;0;1;0;2
0087476606;Vannes;1;0;0;0;1
0087313874;Amiens;0;2;0;0;2
0087746008;Annecy;1;0;0;0;1
0087718007;Besançon Viotte;1;0;0;0;1
0087581009;Bordeaux Saint-Jean;2;0;0;1;3
0087743005;Bourg-en-Bresse;0;0;0;1;1
0087276691;Compiègne;0;2;0;0;2
0087276006;Creil;1;0;0;0;1
0087673202;Dax;0;0;0;1;1
0087276055;Ermont - Eaubonne;0;0;0;1;1
0087387001;Évreux Normandie;0;0;1;0;1
0087747006;Grenoble;1;0;0;3;4
0087386409;Houilles - Carrières-sur-Seine;0;0;0;1;1
0087478404;Laval;1;0;0;0;1
0087396002;Le Mans;1;0;0;1;2
0087476002;Lorient;1;1;0;0;2
0087723197;Lyon Part Dieu;1;3;0;1;5
0087722025;Lyon Perrache;1;0;0;1;2
0087762906;Lyon Saint-Exupéry TGV;1;3;1;1;6
0087611244;Montauban Ville Bourbon;1;0;0;0;1
0087391003;Paris Montparnasse;1;7;1;1;10
0087471003;Rennes;1;1;1;1;4
0087654798;Rosa Parks;0;0;1;0;1
0087473009;Saint-Brieuc;0;1;1;1;3
0087212027;Strasbourg;1;3;1;1;6
0087444372;Trouville - Deauville;0;0;0;1;1
