Transporteur;Gare origine;Gare origine - code UIC;Destination;Gare destination - code UIC;Classe;Profil tarifaire;Prix minimum;Prix maximum
OUIGO;AEROPORT CDG2 TGV ROISSY;87271494;MARSEILLE ST CHARLES;87751008;2;Tarif Normal;16;99
OUIGO;AVIGNON TGV;87318964;AIX EN PROVENCE TGV;87319012;2;Tarif Normal;10;29
OUIGO;AVIGNON TGV;87318964;MARSEILLE ST CHARLES;87751008;2;Tarif Normal;10;29
OUIGO;AVIGNON TGV;87318964;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;10;35
OUIGO;AIX EN PROVENCE TGV;87319012;CANNES;87757625;2;Tarif Normal;10;39
OUIGO;MASSY TGV;87393702;TOULOUSE MATABIAU;87611004;2;Tarif Normal;16;99
OUIGO;MARSEILLE ST CHARLES;87751008;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;10;69
OUIGO;TOULON;87755009;NICE VILLE;87756056;2;Tarif Normal;10;29
OUIGO;TOURCOING;87286542;MASSY TGV;87393702;2;Tarif Normal;10;59
OUIGO;PARIS MONTPARNASSE 1 ET 2;87391003;NANTES;87481002;2;Tarif Normal;16;85
OUIGO;ANGOULEME;87583005;MONTAUBAN VILLE BOURBON;87611244;2;Tarif Normal;10;55
OUIGO;AIME LA PLAGNE;87741769;GRENOBLE;87747006;2;Tarif Normal;10;39
OUIGO;AEROPORT CDG2 TGV ROISSY;87271494;POITIERS;87575001;2;Tarif Normal;10;79
OUIGO;TOURCOING;87286542;BORDEAUX ST JEAN;87581009;2;Tarif Normal;19;99
OUIGO;AVIGNON TGV;87318964;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;10;55
OUIGO;MASSY TGV;87393702;ST PIERRE DES CORPS;87571240;2;Tarif Normal;10;69
OUIGO;MASSY TGV;87393702;POITIERS;87575001;2;Tarif Normal;10;79
OUIGO;ST PIERRE DES CORPS;87571240;POITIERS;87575001;2;Tarif Normal;10;25
OUIGO;PARIS GARE DE LYON;87686006;MONTPELLIER SUD DE FRANCE;87688887;2;Tarif Normal;19;99
OUIGO;PARIS GARE DE LYON;87686006;NICE VILLE;87756056;2;Tarif Normal;19;99
OUIGO;PARIS GARE DE LYON;87686006;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;19;99
OUIGO;MARNE LA VALLEE CHESSY;87111849;ANGOULEME;87583005;2;Tarif Normal;10;99
OUIGO;PARIS EST;87113001;STRASBOURG;87212027;2;Tarif Normal;16;99
OUIGO;LE MANS;87396002;ANGERS ST LAUD;87484006;2;Tarif Normal;10;19
OUIGO;PARIS GARE DE LYON;87686006;NIMES PONT DU GARD;87703975;2;Tarif Normal;19;99
OUIGO;CANNES;87757625;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;10;85
OUIGO;MARNE LA VALLEE CHESSY;87111849;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;16;99
OUIGO;AEROPORT CDG2 TGV ROISSY;87271494;BORDEAUX ST JEAN;87581009;2;Tarif Normal;16;99
OUIGO;AEROPORT CDG2 TGV ROISSY;87271494;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;16;99
OUIGO;TOURCOING;87286542;ST PIERRE DES CORPS;87571240;2;Tarif Normal;16;99
OUIGO;TOURCOING;87286542;LYON PART DIEU;87723197;2;Tarif Normal;16;99
OUIGO;TGV HAUTE PICARDIE;87313882;MASSY TGV;87393702;2;Tarif Normal;10;45
OUIGO;POITIERS;87575001;BORDEAUX ST JEAN;87581009;2;Tarif Normal;10;49
OUIGO;PARIS GARE DE LYON;87686006;CANNES;87757625;2;Tarif Normal;19;99
OUIGO;NIMES PONT DU GARD;87703975;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;10;59
OUIGO;TOULON;87755009;CANNES;87757625;2;Tarif Normal;10;25
OUIGO TRAIN CLASSIQUE;LYON PERRACHE;87722025;PARIS AUSTERLITZ;87547000;2;Tarif Normal;10;49
OUIGO TRAIN CLASSIQUE;LE MANS;87396002;ANGERS ST LAUD;87484006;2;Tarif Normal;10;49
OUIGO TRAIN CLASSIQUE;VILLENEUVE-SAINT-GEORGES;87681825;LYON PART DIEU;87723197;2;Tarif Normal;10;49
OUIGO TRAIN CLASSIQUE;NANTES;87481002;SAUMUR;87487603;2;Tarif Normal;10;49
OUIGO TRAIN CLASSIQUE;JUVISY;87545244;ST PIERRE DES CORPS;87571240;2;Tarif Normal;10;49
OUIGO TRAIN CLASSIQUE;MELUN;87682005;LYON PART DIEU;87723197;2;Tarif Normal;10;49
OUIGO TRAIN CLASSIQUE;VERSAILLES CHANTIERS;87393009;CHARTRES;87394007;2;Tarif Normal;10;49
OUIGO TRAIN CLASSIQUE;NANTES;87481002;BLOIS - CHAMBORD;87574004;2;Tarif Normal;10;49
OUIGO TRAIN CLASSIQUE;PARIS AUSTERLITZ;87547000;BLOIS - CHAMBORD;87574004;2;Tarif Normal;10;49
OUIGO TRAIN CLASSIQUE;MASSY PALAISEAU;87393579;ANGERS ST LAUD;87484006;2;Tarif Normal;10;49
OUIGO TRAIN CLASSIQUE;CHARTRES;87394007;PARIS AUSTERLITZ;87547000;2;Tarif Normal;10;49
OUIGO TRAIN CLASSIQUE;NANTES;87481002;ANGERS ST LAUD;87484006;2;Tarif Normal;10;49
OUIGO TRAIN CLASSIQUE;VILLENEUVE-SAINT-GEORGES;87681825;CHALON SUR SAONE;87725002;2;Tarif Normal;10;49
TGV INOUI;IRUN;71116000;AEROPORT CDG2 TGV ROISSY;87271494;2;Tarif Normal;25;123
TGV INOUI;IRUN;71116000;DAX;87673202;1;Tarif Normal;10;32
TGV INOUI;ST RAPHAEL VALESCURE;87757526;VENTIMIGLIA STAZIONE;8345013;2;Tarif Normal;9;20
TGV INOUI;GENEVE;8510082;ST PERAY;87761494;1;Tarif Normal;17;87
OUIGO;TGV HAUTE PICARDIE;87313882;BORDEAUX ST JEAN;87581009;2;Tarif Normal;19;99
TGV INOUI;BASEL SBB;85109;BESANCON - F COMTE TGV;87300863;1;Tarif Normal;17;66
OUIGO;AIX EN PROVENCE TGV;87319012;ANTIBES;87757674;2;Tarif Normal;10;39
TGV INOUI;BASEL SBB;85109;AVIGNON TGV;87318964;1;Tarif Normal;31;181
OUIGO;PARIS MONTPARNASSE 1 ET 2;87391003;BORDEAUX ST JEAN;87581009;2;Tarif Normal;19;99
TGV INOUI;IRUN;71116000;MASSY TGV;87393702;1;Tarif Normal;31;199
OUIGO;MARNE LA VALLEE CHESSY;87111849;AIX EN PROVENCE TGV;87319012;2;Tarif Normal;16;99
TGV INOUI;IRUN;71116000;DAX;87673202;2;Tarif Normal;8;19
OUIGO;MARNE LA VALLEE CHESSY;87111849;RENNES;87471003;2;Tarif Normal;10;89
TGV INOUI;TOULON;87755009;VENTIMIGLIA STAZIONE;8345013;1;Tarif Normal;17;58
OUIGO;ANGOULEME;87583005;TOULOUSE MATABIAU;87611004;2;Tarif Normal;10;59
TGV INOUI;MONACO MONTE CARLO;87756403;VENTIMIGLIA STAZIONE;8345013;2;Tarif Normal;3;3
OUIGO;PARIS GARE DE LYON;87686006;ANTIBES;87757674;2;Tarif Normal;19;99
TGV INOUI;CANNES;87757625;VENTIMIGLIA STAZIONE;8345013;2;Tarif Normal;6;13
OUIGO;MONTPELLIER SUD DE FRANCE;87688887;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;10;49
TGV INOUI;LE MANS;87396002;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15;66
OUIGO;MOUTIERS SALINS BRIDES L BAINS;87741728;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;10;29
TGV INOUI;LORIENT;87476002;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;26;156
OUIGO;AIX EN PROVENCE TGV;87319012;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;10;49
TGV INOUI;MEUSE TGV;87147322;MARNE LA VALLEE CHESSY;87111849;2;Tarif Réglementé;41;68
OUIGO;MASSY TGV;87393702;AGEN;87586008;2;Tarif Normal;16;99
TGV INOUI;MENTON;87756486;VENTIMIGLIA STAZIONE;8345013;1;Tarif Normal;5;6
OUIGO;PARIS GARE DE LYON;87686006;LES ARCS DRAGUIGNAN;87755447;2;Tarif Normal;19;99
OUIGO;MARNE LA VALLEE CHESSY;87111849;LILLE FLANDRES;87286005;2;Tarif Normal;10;65
TGV INOUI;LA BAULE ESCOUBLAC;87481754;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;99
OUIGO;MARNE LA VALLEE CHESSY;87111849;AVIGNON TGV;87318964;2;Tarif Normal;16;99
OUIGO;AEROPORT CDG2 TGV ROISSY;87271494;ANGOULEME;87583005;2;Tarif Normal;10;99
TGV INOUI;STRASBOURG;87212027;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;118
OUIGO;MARSEILLE ST CHARLES;87751008;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;10;49
OUIGO;TOURCOING;87286542;MONTPELLIER SUD DE FRANCE;87688887;2;Tarif Normal;19;99
TGV INOUI;IRUN;71116000;PARIS MONTPARNASSE 1 ET 2;87391003;1;Tarif Normal;31;199
OUIGO;MONTPELLIER SAINT-ROCH;87773002;NIMES;87775007;2;Tarif Normal;10;10
OUIGO;BORDEAUX ST JEAN;87581009;AGEN;87586008;2;Tarif Normal;10;25
TGV INOUI;CAEN;87444000;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17;75
OUIGO;LILLE FLANDRES;87286005;AIX EN PROVENCE TGV;87319012;2;Tarif Normal;19;99
OUIGO;MARNE LA VALLEE CHESSY;87111849;POITIERS;87575001;2;Tarif Normal;10;79
TGV INOUI;IRUN;71116000;MASSY TGV;87393702;2;Tarif Normal;25;123
OUIGO;TOURCOING;87286542;NIMES PONT DU GARD;87703975;2;Tarif Normal;19;99
OUIGO;AIME LA PLAGNE;87741769;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;10;39
TGV INOUI;ANGERS ST LAUD;87484006;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;24;125
OUIGO;PARIS GARE DE LYON;87686006;TOULON;87755009;2;Tarif Normal;19;99
OUIGO;LYON-SAINT EXUPERY TGV;87762906;MONTPELLIER SAINT-ROCH;87773002;2;Tarif Normal;10;69
TGV INOUI;IRUN;71116000;LIBOURNE;87584052;1;Tarif Normal;22;76
OUIGO;ALBERTVILLE;87741645;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;10;35
OUIGO;TOURCOING;87286542;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;19;99
TGV INOUI;LYON-SAINT EXUPERY TGV;87762906;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;109
OUIGO;TOULON;87755009;ST RAPHAEL VALESCURE;87757526;2;Tarif Normal;10;19
OUIGO;AIX EN PROVENCE TGV;87319012;NICE VILLE;87756056;2;Tarif Normal;10;39
TGV INOUI;VALENCE TGV RHONE-ALPES SUD;87763029;VENTIMIGLIA STAZIONE;8345013;2;Tarif Normal;20;72
OUIGO;TOULON;87755009;ANTIBES;87757674;2;Tarif Normal;10;25
OUIGO;PARIS MONTPARNASSE 1 ET 2;87391003;RENNES;87471003;2;Tarif Normal;16;89
TGV INOUI;BEZIERS;87781005;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;131
OUIGO;POITIERS;87575001;ANGOULEME;87583005;2;Tarif Normal;10;25
OUIGO;PARIS MONTPARNASSE 1 ET 2;87391003;ST PIERRE DES CORPS;87571240;2;Tarif Normal;16;69
OUIGO;PARIS MONTPARNASSE 1 ET 2;87391003;LA ROCHELLE;87485003;2;Tarif Normal;16;99
TGV INOUI;DAX;87673202;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31;190
OUIGO;PARIS GARE DE LYON;87686006;ST RAPHAEL VALESCURE;87757526;2;Tarif Normal;19;99
OUIGO;ANGOULEME;87583005;AGEN;87586008;2;Tarif Normal;10;45
OUIGO;AEROPORT CDG2 TGV ROISSY;87271494;TOULON;87755009;2;Tarif Normal;16;99
TGV INOUI;BASEL SBB;85109;AIX EN PROVENCE TGV;87319012;1;Tarif Normal;31;196
OUIGO;NIMES PONT DU GARD;87703975;VALENCE TGV RHONE-ALPES SUD;87763029;2;Tarif Normal;10;39
OUIGO;LYON PART DIEU;87723197;MARSEILLE ST CHARLES;87751008;2;Tarif Normal;10;69
OUIGO;MARNE LA VALLEE CHESSY;87111849;NIMES PONT DU GARD;87703975;2;Tarif Normal;16;99
TGV INOUI;AIX EN PROVENCE TGV;87319012;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31;179
OUIGO;MARNE LA VALLEE CHESSY;87111849;TOURCOING;87286542;2;Tarif Normal;10;59
OUIGO;MARNE LA VALLEE CHESSY;87111849;LYON PERRACHE;87722025;2;Tarif Normal;10;99
OUIGO;AEROPORT CDG2 TGV ROISSY;87271494;LYON PART DIEU;87723197;2;Tarif Normal;10;99
TGV INOUI;BESANCON VIOTTE;87718007;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;20;87
OUIGO;MARNE LA VALLEE CHESSY;87111849;TGV HAUTE PICARDIE;87313882;2;Tarif Normal;10;45
OUIGO;AEROPORT CDG2 TGV ROISSY;87271494;TOURCOING;87286542;2;Tarif Normal;10;59
OUIGO;TOURCOING;87286542;ANGOULEME;87583005;2;Tarif Normal;16;99
TGV INOUI;CHAMPAGNE-ARDENNE;87171926;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;17;70
OUIGO;TGV HAUTE PICARDIE;87313882;POITIERS;87575001;2;Tarif Normal;16;99
OUIGO;AEROPORT CDG2 TGV ROISSY;87271494;AVIGNON TGV;87318964;2;Tarif Normal;16;99
OUIGO;TGV HAUTE PICARDIE;87313882;AVIGNON TGV;87318964;2;Tarif Normal;19;99
TGV INOUI;ST AVRE LA CHAMBRE;87741306;MARNE LA VALLEE CHESSY;87111849;1;Tarif Normal;31;170
OUIGO;MASSY TGV;87393702;ANGOULEME;87583005;2;Tarif Normal;10;99
OUIGO;TOURCOING;87286542;POITIERS;87575001;2;Tarif Normal;16;99
OUIGO;MASSY TGV;87393702;MONTAUBAN VILLE BOURBON;87611244;2;Tarif Normal;16;99
TGV INOUI;VENDOME VILLIERS SUR LOIR;87571216;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;15;67
OUIGO;TOULON;87755009;LYON-SAINT EXUPERY TGV;87762906;2;Tarif Normal;10;69
OUIGO;PARIS MONTPARNASSE 1 ET 2;87391003;LAVAL;87478404;2;Tarif Normal;16;75
OUIGO;LE MANS;87396002;NANTES;87481002;2;Tarif Normal;10;35
TGV INOUI;ST JEAN DE MAURIENNE ARVAN;87742320;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;124
OUIGO TRAIN CLASSIQUE;LE MANS;87396002;NANTES;87481002;2;Tarif Normal;10;49
OUIGO;RENNES;87471003;LAVAL;87478404;2;Tarif Normal;10;19
OUIGO;PARIS GARE DE LYON;87686006;LYON PERRACHE;87722025;2;Tarif Normal;16;99
TGV INOUI;BORDEAUX ST JEAN;87581009;MARNE LA VALLEE CHESSY;87111849;2;Tarif Normal;25;123
