drg_segment,total_passengers_2022,total_passengers_2015,wifi_service,city_attraction_area,city_category_in_attraction_area_2020,department,region,sum_municipal_population_2021,non_scholarized_15_years_old_or_more_2020,main_residences_2020,housing_2020,jobs_at_workplace_2020,hotels_2024_sum,camping_sites_2024_sum,other_tourist_accommodations_2024_sum,latitude,longitude,passenger_growth_rate,attraction_density,city_size_category,Dubious,total_non_passengers_2022,total_non_passengers_2015,non_passenger_growth_rate,distance_to_paris,population_category,high_population
C,31539.0,29582.0,0,230,20,27,28,32349,25370,15325,18562,11671,3,0,1,49.1074117,0.7189895,0.06615509431410993,0.00012365142662833472,Small,No,0.0,0.0,0.0,120.79853426996861,"(0, 300000]",Low
C,8398.0,10860.0,0,015,20,27,28,709065,504460,323682,356637,276548,80,9,5,49.3170928,1.1596559,-0.22670349907918969,0.00013256894642945288,Large,No,0.0,0.0,0.0,99.05537451560826,"(600000, 900000]",High
C,909.0,1609.0,0,075,20,53,52,145065,104586,64431,71351,65618,26,7,2,48.1088564,-0.7144109,-0.435052827843381,0.00024127115431013684,Medium,No,0.0,0.0,0.0,239.87672033332476,"(0, 300000]",Low
C,26956.0,11140.0,0,000,30,17,75,4444949,3492165,2011354,3253364,1282649,2546,2523,1005,45.1573163,-0.0189768,1.4197486535008976,0.0013664948686700343,Tiny,No,0.0,0.0,0.0,449.3103248591149,"(4200000, 4500000]",High
C,12724.0,12389.0,0,000,30,27,28,4444949,3492165,2011354,3253364,1282649,2546,2523,1005,49.0741722,0.7727865,0.027040116232141417,0.0013664948686700343,Tiny,No,0.0,0.0,0.0,116.22126116738632,"(4200000, 4500000]",High
C,92068.0,84903.0,0,187,11,22,53,48603,37120,22413,26293,19044,15,5,1,48.456764,-2.053542,0.08439042201100079,0.00043207209431516574,Small,No,0.0,0.0,0.0,325.35316452513314,"(0, 300000]",Low
C,1454.0,311.0,0,000,30,48,76,4444949,3492165,2011354,3253364,1282649,2546,2523,1005,44.8380008,3.741923,3.67524115755627,0.0013664948686700343,Tiny,No,0.0,0.0,0.0,460.5725581434775,"(4200000, 4500000]",High
B,238185.0,283486.0,0,004,20,59,32,1521660,1042779,655674,714534,628196,122,17,17,50.5154,3.0199,-0.1597997784723055,0.0001025196167343559,Huge,No,59547.0,70872.0,-0.15979512360311549,189.863989181113,"(1500000, 1800000]",High
B,263590.0,219910.0,0,005,20,31,76,1490640,1036295,684922,760724,668535,169,26,54,43.398537,1.714725,0.1986267109271975,0.0001670423442279826,Huge,Yes,65897.0,54978.0,0.1986067154134381,609.8879778340337,"(1200000, 1500000]",High
B,938021.0,820231.0,0,364,11,38,84,15598,11438,6790,7685,5501,1,0,0,45.560277,5.450092,0.14360588663437496,6.411078343377356e-05,Tiny,No,234506.0,205058.0,0.14360814988929962,436.4766065523509,"(0, 300000]",Low
